,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
0,2528269,KT990961.1,755,06-NOV-2016,Neoboletus tomentulosus,"location: [0:755]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Neoboletus,tomentulosus
2,2338527,MG979393.1,742,24-SEP-2018,Spongispora temasekensis,"location: [0:742]
authors: Wu,G., Lee,S.M., Horak,E. and Yang,Z.L.
title: Spongispora temasekensis, a new boletoid genus and species from Singapore
journal: Mycologia (2018) In press
medline id: 
pubmed id: 30215573
comment: Publication Status: Available-Online prior to print
",['rpb1'],['Singapore'],False,Spongispora,temasekensis
3,2079245,MG820263.1,863,25-FEB-2019,Phylloporopsis boletinoides,"location: [0:863]
authors: Farid,A., Gelardi,M., Angelini,C., Franck,A.R., Costanzo,F., Kaminsky,L., Ercole,E., Baroni,T.J., White,A.L., Garey,J.R., Smith,M.E. and Vizzini,A.
title: Phylloporus and Phylloboletellus are no longer alone: Phylloporopsis gen. nov. (Boletaceae), a new smooth-spored lamellate genus to accommodate the American species Phylloporus boletinoides
journal: Fungal Syst Evol 2, 341-359 (2018)
medline id: 
pubmed id: 
comment: 
",['RPB1'],"['USA:Tampa, Florida']",False,Phylloporus,Phylloporopsis boletinoides
4,2050028,KY039965.1,710,07-NOV-2017,Aureoboletus quercus-spinosae,"location: [0:710]
authors: Zhang,M., Li,T.H., Nuhn,M.E., Tsering,T. and Song,B.
title: Aureoboletus quercus-spinosae, a new species from Tibet of China
journal: Mycoscience 58 (3), 192-196 (2017)
medline id: 
pubmed id: 
comment: 
",['RPB1'],['China'],False,Aureoboletus,quercus-spinosae
5,2048560,KY800426.1,782,05-NOV-2017,Caloboletus xiangtoushanensis,"location: [0:782]
authors: Zhang,M., Li,T.H., Gelardi,M., Song,B. and Zhong,X.J.
title: A new species and a new combination of Caloboletus from China
journal: Phytotaxa 309 (2), 118-126 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Caloboletus,xiangtoushanensis
6,2029454,KY553118.1,758,11-APR-2018,Afroboletus multijugus,"location: [0:758]
authors: Han,L.H., Buyck,B., Yourou,N.S., Halling,R.E. and Yang,Z.L.
title: Afroboletus sequestratus (Boletales), the first species with sequestrate basidioma in the genus
journal: Phytotaxa 305 (1), 11-20 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb1'],,False,Afroboletus,multijugus
7,1987365,MF614168.1,831,27-JUN-2018,Xerocomus sp. ABM-2017a,"location: [0:831]
authors: Smith,M.E., Obase,K., Mujic,A.B., Kraisit,N., Hitchcock,H.C., Bessette,A.R. and Bessette,A.E.
title: Xerocomus sclerotiorum sp. nov., a colorful new bolete species from the Eastern United States that forms hidden sclerotia in leaf litter and soil
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB1'],"['USA: Tennessee, Anderson County, Oakridge']",False,Xerocomus,sp. ABM-2017a
8,1979803,KU852256.1,711,03-JUL-2017,Suillus phylopictus,"location: [0:711]
authors: Zhang,R., Mueller,G.M., Shi,X.F. and Liu,P.G.
title: Two new species in the Suillus spraguei complex from China
journal: Mycologia 109 (2), 296-307 (2017)
medline id: 
pubmed id: 28463625
comment: 
",['rpb1'],"['China: Yunnan, Dali']",False,Suillus,phylopictus
9,1968697,KU852282.1,884,30-NOV-2017,Suillus sp. RZ-2017a,"location: [0:884]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb1'],"['China: Miaopu Hill, Dali, Yunnan province']",False,Suillus,sp. RZ-2017a
10,1935359,MH890589.1,648,23-MAR-2019,Rhizopogon sp.,"location: [0:648]
authors: Mujic,A.B., Zheng,N., Kim,K., Spatafora,J.W., Castellano,M.A. and Smith,M.E.
title: The Cedrus-associated truffle Trappeindia himalayensis is a morphologically unique and phylogenetically divergent species of Rhizopogon
journal: Mycologia, 1-10 (2019) In press
medline id: 
pubmed id: 30753119
comment: Publication Status: Available-Online prior to print
",['RPB1'],['USA'],False,Rhizopogon,sp.
11,1930190,KU852257.1,976,30-NOV-2017,Suillus alpinus,"location: [0:976]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb1'],"['China: Bi Gu Tian Chi, Shangri-la, Diqing Zhou, Yunnan province']",False,Suillus,alpinus
12,1930189,KU852265.1,965,30-NOV-2017,Suillus aurihymenius,"location: [0:965]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb1'],"['China: Genhe City, Inner Mongolia']",False,Suillus,aurihymenius
13,1928356,KU852247.1,956,30-NOV-2017,Suillus sp.,"location: [0:956]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb1'],"['China: Ganhaizi, Yulong Snow Mt., Lijinag, Yunnan province']",False,Suillus,sp.
14,1918494,LC043091.1,841,19-JAN-2017,Singerocomus inundabilis,"authors: Henkel,T.W., Obase,K., Husbands,D., Uehling,J.K., Bonito,G., Aime,M.C. and Smith,M.E.
title: New Boletaceae taxa from Guyana: Binderoboletus segoi gen. and sp. nov., Guyanaporus albipodus gen. and sp. nov., Singerocomus rubriflavus gen. and sp. nov., and a new combination for Xerocomus inundabilis
journal: Mycologia 108 (1), 157-173 (2016)
medline id: 
pubmed id: 26490700
comment: Erratum:[Mycologia. 2016 Mar;108(2):469. PMID: 27127214]
",['rpb1'],['Guyana'],False,Singerocomus,inundabilis
15,1916381,KY553122.1,766,11-APR-2018,Strobilomyces sp.,"location: [0:766]
authors: Han,L.H., Buyck,B., Yourou,N.S., Halling,R.E. and Yang,Z.L.
title: Afroboletus sequestratus (Boletales), the first species with sequestrate basidioma in the genus
journal: Phytotaxa 305 (1), 11-20 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb1'],,False,Strobilomyces,sp.
16,1914392,KU974143.1,727,01-NOV-2017,Sutorius sp. HKAS 58724,"location: [0:727]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB1'],['China'],False,Sutorius,sp. HKAS 58724
17,1914391,KU974142.1,690,01-NOV-2017,Sutorius sp. HKAS 59443,"location: [0:690]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes in China
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB1'],['China'],False,Sutorius,sp. HKAS 59443
18,1914360,KT991014.1,653,06-NOV-2016,Xerocomus sp. HKAS 67749,"location: [0:653]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Xerocomus,sp. HKAS 67749
19,1914216,KT990995.1,644,06-NOV-2016,Tengioboletus reticulatus,"location: [0:644]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Tengioboletus,reticulatus
20,1914215,KT990994.1,735,06-NOV-2016,Tengioboletus glutinosus,"location: [0:735]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Tengioboletus,glutinosus
21,1914213,KF112582.1,751,23-APR-2014,Chiua virens,"location: [0:751]
authors: Wu,G., Feng,B., Xu,J., Zhu,X.-T., Li,Y.-C., Zeng,N.-K., Hosen,M.I. and Yang,Z.-L.
title: Molecular phylogenetic analyses redefine seven major clades and reveal 22 new generic clades in the fungal family Boletaceae
journal: Fungal Divers. (2014) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",['RPB1'],['China'],False,Chiua,virens
22,1914186,KT990905.1,757,06-NOV-2016,Boletellus sp. HKAS 74907,"location: [0:757]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Boletellus,sp. HKAS 74907
23,1914178,KT990932.1,754,06-NOV-2016,Hemileccinum sp. HKAS 59445,"location: [0:754]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],,False,Hemileccinum,sp. HKAS 59445
