,taxID,accession,length,date,organism,reference,gene_information,sampling_locality,outgroup,genus,epithet
2_KT990961.1,2528269,KT990961.1,755,06-NOV-2016,Neoboletus tomentulosus,"location: [0:755]
authors: Wu,G., Li,Y.-C., Zhu,X.-T., Zhao,K., Han,L.-H., Cui,Y.-Y., Li,F., Xu,J.-P. and Yang,Z.-L.
title: One hundred noteworthy boletes from China
journal: Fungal Divers. (2016) In press
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Neoboletus,tomentulosus
3_MK165980.1,2488100,MK165980.1,799,20-SEP-2019,Heimioporus sp. MZ-2018a,"location: [0:799]
authors: Chen,X.-N., Zhang,M., Li,T.-H. and Zeng,N.-K.
title: A new species of Heimioporus (Boletaceae) from southern China
journal: Phytotaxa 415 (4), 179-188 (2019)
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Heimioporus,sp. MZ-2018a
4_MG979393.1,2338527,MG979393.1,742,24-SEP-2018,Spongispora temasekensis,"location: [0:742]
authors: Wu,G., Lee,S.M., Horak,E. and Yang,Z.L.
title: Spongispora temasekensis, a new boletoid genus and species from Singapore
journal: Mycologia (2018) In press
medline id: 
pubmed id: 30215573
comment: Publication Status: Available-Online prior to print
",['rpb1'],['Singapore'],False,Spongispora,temasekensis
7_MG820263.1,2079245,MG820263.1,863,25-FEB-2019,Phylloporopsis boletinoides,"location: [0:863]
authors: Farid,A., Gelardi,M., Angelini,C., Franck,A.R., Costanzo,F., Kaminsky,L., Ercole,E., Baroni,T.J., White,A.L., Garey,J.R., Smith,M.E. and Vizzini,A.
title: Phylloporus and Phylloboletellus are no longer alone: Phylloporopsis gen. nov. (Boletaceae), a new smooth-spored lamellate genus to accommodate the American species Phylloporus boletinoides
journal: Fungal Syst Evol 2, 341-359 (2018)
medline id: 
pubmed id: 
comment: 
",['RPB1'],"['USA:Tampa, Florida']",False,Phylloporus,Phylloporopsis boletinoides
9_KY039965.1,2050028,KY039965.1,710,07-NOV-2017,Aureoboletus quercus-spinosae,"location: [0:710]
authors: Zhang,M., Li,T.H., Nuhn,M.E., Tsering,T. and Song,B.
title: Aureoboletus quercus-spinosae, a new species from Tibet of China
journal: Mycoscience 58 (3), 192-196 (2017)
medline id: 
pubmed id: 
comment: 
",['RPB1'],['China'],False,Aureoboletus,quercus-spinosae
10_KY800426.1,2048560,KY800426.1,782,05-NOV-2017,Caloboletus xiangtoushanensis,"location: [0:782]
authors: Zhang,M., Li,T.H., Gelardi,M., Song,B. and Zhong,X.J.
title: A new species and a new combination of Caloboletus from China
journal: Phytotaxa 309 (2), 118-126 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb1'],['China'],False,Caloboletus,xiangtoushanensis
11_KY553118.1,2029454,KY553118.1,758,11-APR-2018,Afroboletus multijugus,"location: [0:758]
authors: Han,L.H., Buyck,B., Yourou,N.S., Halling,R.E. and Yang,Z.L.
title: Afroboletus sequestratus (Boletales), the first species with sequestrate basidioma in the genus
journal: Phytotaxa 305 (1), 11-20 (2017)
medline id: 
pubmed id: 
comment: 
",['rpb1'],,False,Afroboletus,multijugus
12_MF614168.1,1987365,MF614168.1,831,27-JUN-2018,Xerocomus sp. ABM-2017a,"location: [0:831]
authors: Smith,M.E., Obase,K., Mujic,A.B., Kraisit,N., Hitchcock,H.C., Bessette,A.R. and Bessette,A.E.
title: Xerocomus sclerotiorum sp. nov., a colorful new bolete species from the Eastern United States that forms hidden sclerotia in leaf litter and soil
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['RPB1'],"['USA: Tennessee, Anderson County, Oakridge']",False,Xerocomus,sp. ABM-2017a
13_KU852256.1,1979803,KU852256.1,711,03-JUL-2017,Suillus phylopictus,"location: [0:711]
authors: Zhang,R., Mueller,G.M., Shi,X.F. and Liu,P.G.
title: Two new species in the Suillus spraguei complex from China
journal: Mycologia 109 (2), 296-307 (2017)
medline id: 
pubmed id: 28463625
comment: 
",['rpb1'],"['China: Yunnan, Dali']",False,Suillus,phylopictus
15_KU852282.1,1968697,KU852282.1,884,30-NOV-2017,Suillus sp. RZ-2017a,"location: [0:884]
authors: Zhang,R., Shi,X.-F., Mueller,G.M. and Liu,P.-G.
title: Dilemmatic Calibration of Evolutionary History in the Genus Suillus (Boletales, Basidiomycota) Revealed by Host Association Analysis
journal: Unpublished
medline id: 
pubmed id: 
comment: 
",['rpb1'],"['China: Miaopu Hill, Dali, Yunnan province']",False,Suillus,sp. RZ-2017a
